route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
RE1,249402015851498,15851498, ,902024,0, , 
R6,249195215850065,15850065, ,10605,0, , 
S11,249197215850080,15850080, ,25219,0, , 
S11,249197715850084,15850084, ,25253,0, , 
S4,249550915852261,15852261, ,902732,0, , 
S2,249376115850841,15850841, ,24241,0, , 
RE1,249247315850393,15850393, ,902071,0, , 
S2,249523215852200,15852200, ,24245,0, , 
S2,249524115852205,15852205, ,24219,0, , 
RE6,249241415850346,15850346, ,2660,0, , 
S7,249369615850794,15850794, ,24754,0, , 
S2,249603015852241,15852241, ,24253,0, , 
S2,249245315850379,15850379, ,24235,0, , 
S2,249292115850710,15850710, ,24238,0, , 
S11,249468915851849,15851849, ,25271,0, , 
S6,249471415851509,15851509, ,24604,0, , 
S13,249281415850284,15850284, ,24336,0, , 
S9,249486715851776,15851776, ,25640,0, , 
R16,249472815851553,15851553, ,902660,0, , 
R16,249595215852566,15852566, ,902683,0, , 
R38,249345915850999,15850999, ,10892,0, , 
S11,249308215850482,15850482, ,25245,0, , 
S2,249568215852378,15852378, ,24240,0, , 
RE2,249381715850878,15850878, ,2273,0, , 
RE5,249382915850886,15850886, ,2566,0, , 
S6,249383315850890,15850890, ,24694,0, , 
S11,249304415850464,15850464, ,25267,0, , 
S6,249431815851155,15851155, ,24698,0, , 
RE2,249433115851168,15851168, ,2206,0, , 
RE80,249201415849781,15849781, ,25203,0, , 
R3,249440815851282,15851282, ,912965,0, , 
S6,249443415851299,15851299, ,24600,0, , 
S2,249337315850661,15850661, ,24217,0, , 
S4,249263915850164,15850164, ,902734,0, , 
S2,249582315852477,15852477, ,24249,0, , 
S11,249265315850172,15850172, ,25273,0, , 
RE8,249324215850588,15850588, ,2868,0, , 
R21,249350215851084,15851084, ,25306,0, , 
RE13,249332015850639,15850639, ,2362,0, , 
R4,249334615850651,15850651, ,10906,0, , 
R17,249354915851117,15851117, ,902185,0, , 
S11,249429015851461,15851461, ,25235,0, , 
S2,249599615852591,15852591, ,24262,0, , 
R8,249309315853594,15853594, ,10821,0, , 
R23,249189415887869,15887869, ,10230,0, , 
R25,249293615853508,15853508, ,11250,0, , 
S11,249479915851666,15851666, ,25255,0, , 
S4,249268315850195,15850195, ,902754,0, , 
R4,249392715851381,15851381, ,2675,0, , 
S8,249203915852944,15852944, ,24855,0, , 
S9,249207215852962,15852962, ,24974,0, , 
R3,249281515853325,15853325, ,911920,0, , 
R21,249355715853959,15853959, ,25309,0, , 
R36,249282515853331,15853331, ,10688,0, , 
S1,249282915853334,15853334, ,24134,0, , 
RE1,249284615853348,15853348, ,901030,0, , 
R2,249213515853000,15853000, ,22665,0, , 
R37,249235815853146,15853146, ,10781,0, , 
S40,249191915852847,15852847, ,25418,0, , 
S40,249278215853308,15853308, ,25482,0, , 
RE11,249238315853157,15853157, ,2180,0, , 
S5,249316215853630,15853630, ,24512,0, , 
S9,249270415853261,15853261, ,24947,0, , 
S7,249344115853921,15853921, ,24734,0, , 
R16,249261115853206,15853206, ,901615,0, , 
S40,249532915854786,15854786, ,25412,0, , 
S8,249599115855160,15855160, ,24839,0, , 
R25,249495315854677,15854677, ,11265,0, , 
R31,249599915855163,15855163, ,10071,0, , 
R40,249527715854701,15854701, ,10005,0, , 
S9,249395415854314,15854314, ,24922,0, , 
R35,249422715854324,15854324, ,10562,0, , 
S4,249420415854267,15854267, ,911606,0, , 
R25,249530615854770,15854770, ,11252,0, , 
S1,249530715854771,15854771, ,24137,0, , 
S7,249469915854652,15854652, ,24733,0, , 
RE3,249385615853851,15853851, ,901917,0, , 
R27,249386115853855,15853855, ,901211,0, , 
R8,249434915854104,15854104, ,10829,0, , 
R2,249494515854673,15854673, ,22660,0, , 
R40,249406715854127,15854127, ,10009,0, , 
R11,249372615853783,15853783, ,10192,0, , 
R21,249248315853427,15853427, ,25322,0, , 
S40,249373315853788,15853788, ,25464,0, , 
R11,249412015854165,15854165, ,10193,0, , 
S1,249412115854166,15854166, ,24135,0, , 
R3,249463015854567,15854567, ,901915,0, , 
S9,249477815854473,15854473, ,24967,0, , 
S40,249546915854989,15854989, ,25470,0, , 
R35,249577015855362,15855362, ,10581,0, , 
S8,249403015854056,15854056, ,24874,0, , 
R25,249524315855025,15855025, ,11263,0, , 
S7,249516715854948,15854948, ,24752,0, , 
R17,249579415855377,15855377, ,901111,0, , 
S7,249458915854540,15854540, ,24745,0, , 
R8,249453015854452,15854452, ,10816,0, , 
S1,249457115854528,15854528, ,24116,0, , 
R37,249571015855332,15855332, ,10771,0, , 
S1,249571815855337,15855337, ,24145,0, , 
R23,249576015855343,15855343, ,10218,0, , 
R22,249535115854800,15854800, ,911078,0, , 
R31,249567815855306,15855306, ,10085,0, , 
R21,249426015854348,15854348, ,25315,0, , 
RE13,249541715854898,15854898, ,2384,0, , 
R28,249345315856450,15856450, ,2916,0, , 
S4,249423515856784,15856784, ,900781,0, , 
R16,249366415856311,15856311, ,900651,0, , 
R13,249346615856460,15856460, ,10333,0, , 
S1,249490015856995,15856995, ,24172,0, , 
RE8,249323415856240,15856240, ,2828,0, , 
S13,249373415856333,15856333, ,24334,0, , 
RE2,249324415856248,15856248, ,2215,0, , 
RE2,249324615856249,15856249, ,2238,0, , 
R38,249374115856337,15856337, ,10878,0, , 
R14,249356015856475,15856475, ,25827,0, , 
S11,249356215856476,15856476, ,25072,0, , 
S13,249463615857011,15857011, ,24353,0, , 
S11,249465415857017,15857017, ,25021,0, , 
S8,249357015856480,15856480, ,24869,0, , 
S11,249357215856481,15856481, ,25076,0, , 
S1,249357915856483,15856483, ,24158,0, , 
S8,249377615856347,15856347, ,24837,0, , 
RE80,249465915857020,15857020, ,25508,0, , 
R31,249358015856484,15856484, ,10069,0, , 
S6,249467215857024,15857024, ,24651,0, , 
R31,249359915856491,15856491, ,10023,0, , 
S6,249328915856272,15856272, ,24668,0, , 
R7,249360815856498,15856498, ,10723,0, , 
S30,249360915856499,15856499, ,25375,0, , 
S5,249330015856277,15856277, ,24575,0, , 
S11,249332815856286,15856286, ,25073,0, , 
R11,249493015857041,15857041, ,10178,0, , 
XP1,249391915856427,15856427, ,900372,0, , 
R35,249340615856433,15856433, ,10598,0, , 
S9,249336315856300,15856300, ,25677,0, , 
S4,249342115856435,15856435, ,900717,0, , 
RE5,249342815856438,15856438, ,2528,0, , 
R22,249224515855749,15855749, ,900055,0, , 
S8,249296815856122,15856122, ,24868,0, , 
R11,249321615856231,15856231, ,10169,0, , 
R11,249227615855767,15855767, ,10159,0, , 
S4,249322115856233,15856233, ,900797,0, , 
R16,249229515855775,15855775, ,900612,0, , 
S4,249229915855777,15855777, ,900788,0, , 
S13,249231315855782,15855782, ,24354,0, , 
R5,249486515854581,15854581, ,10530,0, , 
S1,249304615856156,15856156, ,24160,0, , 
R16,249233815855798,15855798, ,900621,0, , 
S6,249310815856177,15856177, ,24661,0, , 
R14,249222015855733,15855733, ,25830,0, , 
S13,249293115856097,15856097, ,24317,0, , 
S5,249223415855742,15855742, ,24565,0, , 
R3,249582915855059,15855059, ,901921,0, , 
R1,249223915855746,15855746, ,10115,0, , 
S5,249239615855987,15855987, ,24502,0, , 
R13,249255315855830,15855830, ,10324,0, , 
R28,249193815852866,15852866, ,2974,0, , 
R1,249290915856084,15856084, ,10133,0, , 
R17,249289015856072,15856072, ,900114,0, , 
R2,249258415855841,15855841, ,22623,0, , 
R2,249258515855842,15855842, ,22655,0, , 
S6,249195715855598,15855598, ,24660,0, , 
R34,249289215856074,15856074, ,10458,0, , 
R2,249258715855844,15855844, ,22675,0, , 
RE2,249259215855846,15855846, ,2202,0, , 
S13,249260315855850,15855850, ,24325,0, , 
R14,249276515855927,15855927, ,25871,0, , 
S4,249261215855854,15855854, ,904768,0, , 
R31,249277315855929,15855929, ,10033,0, , 
S6,249277615855931,15855931, ,24657,0, , 
RE6,249253115856003,15856003, ,2624,0, , 
S7,249243515856006,15856006, ,25969,0, , 
R22,249420215856729,15856729, ,910089,0, , 
S9,249265915855872,15855872, ,25639,0, , 
S9,249266015855873,15855873, ,25678,0, , 
R6,249244715856014,15856014, ,10639,0, , 
S11,249421515856734,15856734, ,25083,0, , 
S5,249245615856018,15856018, ,24507,0, , 
R35,249246015856021,15856021, ,10583,0, , 
S4,249246715856023,15856023, ,904734,0, , 
S1,249286315855972,15855972, ,24168,0, , 
R28,249393115856755,15856755, ,2981,0, , 
S11,249287215855977,15855977, ,25036,0, , 
RE1,249249215856038,15856038, ,900061,0, , 
S1,249193215852860,15852860, ,24163,0, , 
S4,249249715856040,15856040, ,904736,0, , 
S4,249249815856041,15856041, ,904770,0, , 
RE6,249253415855898,15855898, ,2625,0, , 
XP1,249252715856053,15856053, ,900304,0, , 
S4,249448615856856,15856856, ,904784,0, , 
S3,249448915856858,15856858, ,900888,0, , 
R16,249414215856688,15856688, ,900647,0, , 
R14,249415015856693,15856693, ,25850,0, , 
RE13,249415815856697,15856697, ,2331,0, , 
R31,249355415856547,15856547, ,10068,0, , 
S4,249404115856553,15856553, ,900761,0, , 
RE1,249404415856554,15856554, ,900030,0, , 
XP2,249451615856874,15856874, ,2943,0, , 
R31,249425315856795,15856795, ,10024,0, , 
R17,249430815856565,15856565, ,900191,0, , 
S3,249479115856903,15856903, ,900836,0, , 
S13,249426215856800,15856800, ,24357,0, , 
S6,249426315856801,15856801, ,24709,0, , 
S1,249431415856566,15856566, ,24037,0, , 
R5,249408515856620,15856620, ,10524,0, , 
XP1,249409315856625,15856625, ,900345,0, , 
RE2,249432615856574,15856574, ,2212,0, , 
RE2,249433815856581,15856581, ,2219,0, , 
XP1,249409715856629,15856629, ,900365,0, , 
RE4,249411015856641,15856641, ,2438,0, , 
R11,249482815856917,15856917, ,10160,0, , 
S9,249398115856814,15856814, ,25647,0, , 
R4,249399115856818,15856818, ,10910,0, , 
S5,249411515856645,15856645, ,24510,0, , 
S11,249400015856821,15856821, ,25035,0, , 
S11,249400815856823,15856823, ,25080,0, , 
S13,249401015856824,15856824, ,24331,0, , 
S1,249401215856825,15856825, ,24094,0, , 
S30,249437615856601,15856601, ,25381,0, , 
S5,249406315856605,15856605, ,24513,0, , 
S3,249475715856838,15856838, ,900862,0, , 
R17,249440515856670,15856670, ,900165,0, , 
R3,249448315856853,15856853, ,900933,0, , 
S3,249502015857100,15857100, ,900895,0, , 
S7,249515015857254,15857254, ,25944,0, , 
RE6,249526015857260,15857260, ,2630,0, , 
R35,249532715857139,15857139, ,10589,0, , 
R38,249526315857141,15857141, ,10873,0, , 
R7,249526215857263,15857263, ,2698,0, , 
RE6,249526115857264,15857264, ,2632,0, , 
S5,249517815857271,15857271, ,24508,0, , 
RE5,249518015857273,15857273, ,2549,0, , 
S5,249592915857419,15857419, ,24525,0, , 
S5,249593015857420,15857420, ,24530,0, , 
RE5,249590415857404,15857404, ,2516,0, , 
R22,249590715857407,15857407, ,910045,0, , 
R14,249494815857051,15857051, ,25858,0, , 
R2,249495115857053,15857053, ,22642,0, , 
R14,249538715857216,15857216, ,25831,0, , 
S3,249595415857433,15857433, ,900881,0, , 
S8,249596415857438,15857438, ,24840,0, , 
R34,249581815857347,15857347, ,10478,0, , 
S6,249582515857351,15857351, ,24613,0, , 
S3,249548015857079,15857079, ,900831,0, , 
S9,249543615857237,15857237, ,24916,0, , 
RE4,249543715857238,15857238, ,2416,0, , 
S13,249500515857094,15857094, ,24352,0, , 
S30,249575915857579,15857579, ,25369,0, , 
R6,249562815857543,15857543, ,10620,0, , 
